Amount,Old_balance,New_balance,Transaction_type,Location,is_vpn,Is_fraud
137.09,170.75,33.66,payment,Kolkata,no,no
6800.93,8528.01,1727.08,withdrawal,Chennai,no,no
3854.82,7513.37,3658.55,refund,Hyderabad,no,no
252.73,2767.54,2514.81,refund,Delhi,no,no
7731.74,10401.52,2669.78,withdrawal,Kolkata,no,no
9349.51,10469.73,1120.22,payment,Mumbai,yes,yes
347.04,1065.99,718.95,withdrawal,Chennai,yes,no
6697.05,11347.07,4650.02,withdrawal,Mumbai,no,no
6893.19,11412.99,4519.8,refund,Mumbai,yes,yes
5804.88,9366.5,3561.62,withdrawal,Kolkata,yes,yes
8860.54,10494.44,1633.9,payment,Hyderabad,no,no
1736.87,4989.03,3252.16,payment,Bangalore,yes,yes
6829.94,8156.29,1326.35,refund,Mumbai,yes,yes
8617.53,9385.97,768.44,withdrawal,Delhi,no,yes
2929.75,6815.88,3886.13,refund,Hyderabad,no,no
6825.93,11689.17,4863.24,refund,Delhi,yes,yes
9196.97,14136.95,4939.98,withdrawal,Bangalore,no,yes
500.29,4475.27,3974.98,payment,Delhi,yes,no
3193.62,6050.26,2856.64,refund,Kolkata,no,no
8938.06,11081.68,2143.62,payment,Delhi,yes,yes
3579.04,7742.28,4163.24,payment,Kolkata,yes,yes
8038.32,11215.42,3177.1,refund,Chennai,no,no
8497.69,10239.17,1741.48,withdrawal,Chennai,no,yes
2159.16,4597.15,2437.99,payment,Kolkata,yes,yes
4814.26,8253.56,3439.3,refund,Delhi,no,no
7419.17,10855.35,3436.18,refund,Kolkata,no,no
1628,5285.68,3657.68,withdrawal,Bangalore,no,no
6069.25,7499.7,1430.45,refund,Chennai,no,no
2494.4,4608.17,2113.77,withdrawal,Kolkata,no,no
2899.53,6053.24,3153.71,payment,Delhi,yes,no
2913.36,5556.83,2643.47,payment,Kolkata,no,no
4262.81,4449.03,186.22,payment,Chennai,no,no
9130.5,10692.26,1561.76,withdrawal,Bangalore,yes,yes
8089.83,9209.71,1119.88,payment,Chennai,yes,yes
9518.59,10260.92,742.33,payment,Chennai,yes,yes
6315.61,11302.84,4987.23,refund,Chennai,yes,yes
6977.6,10972.53,3994.93,withdrawal,Kolkata,no,no
2632.99,3198.97,565.98,payment,Hyderabad,no,no
7198.56,8972.07,1773.51,refund,Delhi,no,no
1354.91,1686.07,331.16,withdrawal,Mumbai,yes,no
4052.49,5727.9,1675.41,payment,Chennai,no,no
7046.84,11873.93,4827.09,withdrawal,Bangalore,yes,yes
6539.58,11366.77,4827.19,payment,Chennai,yes,yes
2773.56,6730.32,3956.76,refund,Bangalore,no,no
5254.44,7811.78,2557.34,refund,Kolkata,no,no
155.58,3191.74,3036.16,payment,Kolkata,no,no
9548.18,12411.34,2863.16,withdrawal,Hyderabad,no,yes
9149.57,10752.97,1603.4,payment,Hyderabad,no,no
3417.7,8345.96,4928.26,withdrawal,Hyderabad,yes,yes
7513.36,9334.17,1820.81,withdrawal,Chennai,no,no
1100,5589.51,4489.51,refund,Kolkata,no,no
7669.58,12045.38,4375.8,payment,Hyderabad,no,no
9818.12,11757.02,1938.9,refund,Kolkata,no,no
1095.66,3445.45,2349.79,withdrawal,Bangalore,yes,yes
737.8,4869.03,4131.23,withdrawal,Hyderabad,no,no
2967.64,3166.74,199.1,refund,Chennai,yes,no
1604.56,4857.11,3252.55,refund,Hyderabad,yes,yes
6383.63,9126.68,2743.05,payment,Mumbai,no,no
1496.28,1563.2,66.92,payment,Bangalore,no,no
4451.64,7395.93,2944.29,refund,Mumbai,no,no
2958.36,7716.95,4758.59,refund,Delhi,yes,no
5659.13,10252.18,4593.05,withdrawal,Delhi,yes,yes
4152.7,5805.19,1652.49,withdrawal,Chennai,yes,no
3896.41,6474.49,2578.08,refund,Kolkata,no,no
9590.43,13117.34,3526.91,withdrawal,Delhi,yes,yes
8613.87,12270.69,3656.82,refund,Hyderabad,no,no
828.99,4969.71,4140.72,payment,Bangalore,yes,yes
451.47,3188.73,2737.26,refund,Hyderabad,no,no
7576.08,12365.2,4789.12,refund,Mumbai,yes,yes
2754.14,3281.27,527.13,withdrawal,Hyderabad,yes,yes
8314.24,9959.1,1644.86,payment,Chennai,no,no
9617.18,10828.58,1211.4,refund,Chennai,yes,yes
819.86,4230.54,3410.68,payment,Bangalore,yes,yes
2274.79,6811.31,4536.52,withdrawal,Bangalore,no,no
5482.22,6287.15,804.93,refund,Bangalore,yes,yes
6875.18,7692.08,816.9,payment,Chennai,no,no
3395.08,3614.94,219.86,refund,Kolkata,no,no
6586.62,6813.71,227.09,refund,Delhi,yes,yes
373.36,382.7,9.34,refund,Chennai,yes,no
8885,10141.52,1256.52,refund,Mumbai,no,no
754.26,5342.41,4588.15,withdrawal,Bangalore,yes,yes
4565.34,5348.03,782.69,withdrawal,Bangalore,yes,yes
714.73,2205.13,1490.4,payment,Chennai,yes,no
568.04,4559.41,3991.37,payment,Mumbai,yes,no
532.14,2783.85,2251.71,withdrawal,Bangalore,no,no
8649.18,11658.51,3009.33,payment,Bangalore,yes,yes
1653.32,1889.2,235.88,refund,Hyderabad,no,no
5385.47,8030.64,2645.17,payment,Mumbai,no,no
189.44,4753.43,4563.99,payment,Hyderabad,no,no
8756.21,11726.69,2970.48,payment,Delhi,yes,yes
1671.52,2810.45,1138.93,payment,Bangalore,yes,yes
4574.42,5779.99,1205.57,withdrawal,Chennai,yes,no
